代码	名称(50)	涨幅%	涨停数	主力净额	现价	涨跌	涨速%	量比	总金额	涨跌数	跌停数	3日涨幅%	开盘金额	换手%	换手Z	量涨速%	短换手%	2分钟金额	主力净比%	开盘换手Z	连涨天	昨涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	强弱度%	总量	市盈率	市净率	振幅%	昨收	今开	最高	最低	均价	开盘%	回头波%	攻击波%	现均差%	流通市值	AB股总市值	流通股本Z	
880842	业绩预升	-0.62	1	-290137.80	6557.74	-40.85	0.00	  0.96	5389266.53	48|65	1	0.32	56619.59	          1.46	          2.45	          1.05	          0.28	69438.26	  -0.08	          0.02	-1	0.98	1.51	2.34	-14.42	-12.69	7.52	-13.44	-5.59	 -0.65	37242804	    21.23	          1.75	1.25	6598.59	6604.75	6613.93	6531.70	6560.80	0.09	-0.85	0.40	-0.05	      37450.47亿	      42488.96亿	 1518.38亿	
880572	新零售	-0.65	9	-200075.47	1159.62	-7.64	0.01	  0.97	7985735.27	108|213	5	-1.48	111154.56	          3.31	          5.79	          1.05	          0.34	101734.81	  -0.06	          0.03	-2	-1.46	-1.24	2.39	-0.14	4.21	37.27	2.88	2.93	 -0.68	102618016	    27.23	          2.12	1.50	1167.26	1163.08	1169.54	1151.99	1159.62	-0.36	-0.85	0.66	0.00	      34394.26亿	      37134.39亿	 1771.50亿	
880390	汽车类	-0.71	3	-231482.57	2432.88	-17.48	0.02	  1.39	8485756.11	61|222	1	1.95	145068.01	          2.47	          4.69	          0.85	          0.41	87962.42	  -0.07	          0.04	-1	3.00	3.68	5.17	-6.02	1.54	23.09	-5.08	2.84	 -0.74	54093240	    29.47	          2.18	1.64	2450.36	2453.38	2466.10	2425.92	2425.95	0.12	-1.35	0.29	0.28	      34996.56亿	      40380.28亿	 1152.33亿	
880616	大飞机	-0.73	3	-48807.01	1108.65	-8.17	-0.01	  1.22	3254117.99	27|97	0	-0.42	46609.81	          1.87	          3.26	          0.78	          0.22	31142.91	  -0.03	          0.03	-1	0.50	1.84	3.24	-6.52	3.70	24.80	-2.51	1.95	 -0.76	27158624	    71.74	          2.49	1.61	1116.82	1113.55	1117.60	1099.65	1108.65	-0.29	-0.80	0.82	0.00	      17594.76亿	      19051.74亿	  833.50亿	
880328	黄金	-0.80	1	-29736.81	1700.32	-13.63	-0.12	  0.64	1054570.29	1|9	0	-8.18	15580.78	          2.82	          4.90	          0.92	          0.69	12073.57	  -0.08	          0.04	-2	-7.47	-2.38	7.24	14.59	28.01	21.62	9.20	36.27	 -0.82	4982572	    31.63	          3.31	2.94	1713.95	1736.85	1747.19	1696.78	1701.32	1.34	-2.68	0.21	-0.06	       3603.43亿	       3775.94亿	  101.74亿	
880712	微小盘股	-0.80	6	-34561.74	1146.39	-9.29	0.01	  1.00	4483655.27	151|420	3	0.39	47958.51	          3.25	          5.03	          1.12	          0.40	61273.70	  -0.03	          0.04	-1	0.68	1.87	5.02	-4.50	7.27	14.64	-0.77	14.64	 -0.83	50307956	--  	          1.96	1.80	1155.68	1152.83	1158.46	1137.63	1146.76	-0.25	-1.04	0.77	-0.03	      12671.04亿	      15299.43亿	  999.63亿	
880521	黄金概念	-0.98	1	-105771.37	1119.71	-11.04	-0.03	  0.71	2752865.89	14|61	0	-2.73	34745.54	          1.60	          2.76	          0.98	          0.20	33094.25	  -0.07	          0.02	-2	-3.20	0.40	4.77	-1.81	8.86	16.62	-0.49	11.24	 -1.00	27495276	    17.76	          1.73	1.83	1130.75	1134.13	1137.19	1116.50	1119.71	0.30	-1.54	0.29	0.00	      16222.21亿	      17209.08亿	  995.46亿	
880941	跨境电商	-1.08	9	-283509.15	1139.81	-12.41	0.01	  0.96	7541941.04	71|207	4	0.10	114880.35	          3.39	          5.96	          1.10	          0.41	100880.38	  -0.13	          0.05	-1	0.19	1.01	4.40	-3.33	1.22	39.93	-0.19	2.76	 -1.11	85843328	    47.35	          2.15	1.51	1152.22	1150.53	1152.61	1135.25	1139.81	-0.15	-1.11	0.40	0.00	      21707.04亿	      26406.24亿	 1439.38亿	
880677	活跃可转债	-1.24	0	-5081.75	491.29	-6.16	-0.01	  1.02	3298285.36	12|30	0	-0.08	6062.21	--  	--  	          0.56	          0.00	21112.22	--  	--  	-1	1.00	1.85	-0.31	-7.83	-4.16	-20.17	-6.29	-4.79	 -1.27	16298920	--  	--  	1.52	497.45	497.71	498.24	490.67	491.29	0.05	-1.39	0.13	0.00	--  	--  	--  	
880703	人形机器人	-1.25	1	-386681.04	1665.64	-21.06	0.00	  1.16	10055469.47	37|149	1	1.65	111664.20	          2.90	          4.69	          0.83	          0.68	102390.17	  -0.11	          0.03	-1	4.60	5.02	6.25	-9.56	10.22	78.47	-5.50	27.80	 -1.28	44823448	    37.09	          2.97	2.34	1686.70	1686.31	1698.74	1659.28	1665.64	-0.02	-1.95	0.38	0.00	      34142.91亿	      38996.46亿	  955.72亿	
