代码	名称(55)	涨幅%	封单额	涨速%	总金额	振幅%	换手%	现价	涨跌	买价	卖价	总量	现量	今开	最高	最低	昨收	市盈(动)	量比	细分行业	地区	均价	内盘	外盘	内外比	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘换手Z	封成比	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	
513910	港股央企红利ETF	0.71	--  	-0.07	4947.50	1.57	          6.69	1.282	0.009	1.282	1.283	384706	182	1.275	1.295	1.275	1.273	--  	  0.61	港股通央企红利	华夏基金	1.286	172404	212302	  0.81	2456	2510	--  	11.05	          0.29	          0.02	16.81	77.77	   0.11	14098.46	--  	0.00	--  	--  	--  	--  	--  	          7.38亿	  0.95	    983	2	0.47	
513380	恒生科技ETF龙头	-0.90	--  	0.09	45499.73	2.16	         12.71	1.102	-0.010	1.101	1.102	4113433	8	1.112	1.122	1.098	1.112	--  	  0.89	恒生科技指数	广发基金	1.106	2079139	2034294	  1.02	11442	5227	--  	-18.71	          0.32	          0.05	104.63	59.15	   0.02	51659.37	--  	0.00	--  	--  	--  	--  	--  	         35.67亿	 -0.66	   2202	-3	-0.18	
513330	恒生互联网ETF	0.00	--  	-0.22	361552.15	1.61	         12.72	0.434	0.000	0.434	0.435	82939752	13636	0.436	0.440	0.433	0.434	--  	  1.00	恒生互联网科技	华夏基金	0.436	39712281	43227468	  0.92	1122482	682963	--  	-22.71	          0.34	          0.06	1137.33	3355.16	   0.12	307266.61	--  	0.00	--  	--  	--  	--  	--  	        282.98亿	  0.24	   3846	0	-0.46	
513220	中概互联ETF	0.18	--  	0.00	13784.48	1.80	         56.39	1.116	0.002	1.116	1.117	1229864	1	1.115	1.134	1.114	1.114	--  	  1.09	全球中国互联网	招商基金	1.121	597517	632347	  0.94	468	2687	--  	16.12	          0.42	          0.29	41.79	441.10	   1.81	14126.41	--  	0.00	--  	--  	--  	--  	--  	          2.43亿	  0.42	   1182	1	-0.09	
513170	恒生央企ETF	0.43	--  	0.00	4637.86	1.28	         10.06	1.178	0.005	1.178	1.179	391858	50	1.174	1.189	1.174	1.173	--  	  1.13	恒生中国央企指数	鹏华基金	1.184	190504	201354	  0.95	4734	9000	--  	-33.92	          0.23	          0.03	12.06	408.22	   0.89	3924.51	--  	0.00	--  	--  	--  	--  	--  	          4.59亿	  0.66	    774	2	0.77	
513130	恒生科技ETF	-1.16	--  	0.00	431286.73	1.98	         22.62	0.598	-0.007	0.598	0.599	71762976	926	0.604	0.608	0.596	0.605	--  	  1.02	恒生科技指数	华泰柏瑞基金	0.601	37746280	34016695	  1.11	61101	870581	--  	-36.66	          0.42	          0.12	1786.93	-6943.69	  -0.37	417502.16	--  	0.00	--  	--  	--  	--  	--  	        189.70亿	 -0.92	   4302	-3	-0.17	
513090	香港证券ETF	0.48	--  	0.00	776315.34	2.46	        159.00	1.468	0.007	1.468	1.469	52635276	521	1.475	1.493	1.457	1.461	--  	  1.02	香港证券	易方达基金	1.475	24462663	28172613	  0.87	14811	56052	--  	-19.33	          0.46	          0.92	2900.68	4425.01	   0.91	1352028.26	--  	0.07	--  	--  	--  	--  	--  	         48.60亿	  0.72	   4646	2	1.32	
512880	证券ETF	-1.11	--  	0.09	186600.95	3.26	          6.51	1.153	-0.013	1.153	1.154	15991554	188	1.160	1.188	1.150	1.166	--  	  0.92	证券公司	国泰基金	1.167	8012395	7979159	  1.00	4507	13669	--  	59.02	          0.93	          0.08	1643.23	1216.64	   0.04	327907.43	--  	0.00	--  	--  	--  	--  	--  	        283.16亿	 -0.88	   4618	-1	2.91	
512760	芯片ETF	-3.82	--  	0.00	72723.14	3.73	          5.37	1.057	-0.042	1.056	1.057	6767253	931	1.088	1.096	1.055	1.099	--  	  0.87	中华半导体芯片	国泰基金	1.075	3570483	3196770	  1.12	68167	34697	--  	47.48	          1.14	          0.08	663.50	-15257.29	  -1.15	128218.94	--  	0.00	--  	--  	--  	--  	--  	        133.20亿	 -3.58	   4364	-1	2.14	
512710	军工龙头ETF	-3.03	--  	0.16	38484.78	3.48	          6.12	0.641	-0.020	0.641	0.642	5958902	153	0.660	0.662	0.639	0.661	--  	  1.17	军工龙头	富国基金	0.646	3194656	2764246	  1.16	3107	18897	--  	33.70	          0.80	          0.06	266.84	-5378.63	  -0.86	29826.71	--  	0.00	--  	--  	--  	--  	--  	         62.44亿	 -2.79	   3662	-1	0.30	
