代码	名称	涨幅%	封单额	涨速%	总金额	量比	换手%	振幅%	现价	买价	卖价	涨跌	总量	现量	今开	最高	最低	昨收	市盈(动)	细分行业	地区	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z%	市盈(TTM)	
123106	正丹转债	1.21	--  	0.40	1344.00	  1.88	          3.89	2.11	108.499	108.499	108.500	1.299	12458	109	107.736	108.773	106.510	107.200	--  	上证		107.882	2122	10336	  0.21	4	10	--  	--  	--  	--  	          0.03	          3.47亿	--  	 -2.48	   1560	      8	        0.0025	3	0.19	1.91	-2.65	-9.19	-9.25	0	--  	--  	--  	--  	
123104	卫宁转债	1.21	--  	0.02	361.61	  0.41	          0.33	1.65	112.850	112.820	112.850	1.350	3221	54	111.900	113.002	111.167	111.500	--  	上证		112.267	1807	1415	  1.28	21	121	--  	--  	--  	--  	          0.10	         10.95亿	--  	 -2.48	    375	      9	        0.0009	2	0.27	1.21	-0.40	-6.81	-14.51	0	--  	--  	--  	--  	
128123	国光转债	1.21	--  	0.08	2310.60	  2.65	          6.48	7.08	111.200	111.200	111.369	1.330	20733	2	110.371	112.880	105.100	109.870	--  	上证		111.446	9599	11135	  0.86	99	1	--  	--  	--  	--  	          0.03	          3.56亿	--  	 -2.48	   1048	     20	        0.0062	3	0.43	3.92	2.86	-1.50	-1.79	0	--  	--  	--  	--  	
113574	华体转债	1.20	--  	0.08	497.19	  1.08	          2.20	1.78	108.42	108.30	108.36	1.29	4597	1	107.30	108.99	107.08	107.13	--  	深证		108.15	2486	2111	  1.18	10	1	--  	--  	--  	--  	          0.02	          2.26亿	--  	 -1.20	    552	      8	        0.0040	2	0.10	0.96	-1.94	-5.01	-5.31	0	--  	--  	--  	--  	
128079	英联转债	1.20	--  	0.00	3073.95	  0.61	         17.35	1.00	116.790	116.790	116.792	1.389	26367	353	116.380	117.050	115.900	115.401	--  	上证		116.583	12288	14079	  0.87	12	6	--  	--  	--  	--  	          0.02	          1.78亿	--  	 -2.49	   1242	     21	        0.0140	1	-1.11	1.29	-2.27	-7.09	-7.15	0	--  	--  	--  	--  	
123049	维尔转债	1.20	--  	0.07	208.30	  0.62	          0.21	1.22	106.780	106.706	106.780	1.269	1958	15	105.800	106.796	105.513	105.511	--  	上证		106.386	928	1030	  0.90	2	10	--  	--  	--  	--  	          0.09	          9.79亿	--  	 -2.49	    376	      5	        0.0006	1	-0.46	1.02	-2.22	-7.15	-8.56	0	--  	--  	--  	--  	
123125	元力转债	1.20	--  	0.11	3826.21	  3.63	          3.83	1.26	111.220	111.147	111.220	1.321	34478	214	110.300	111.680	110.300	109.899	--  	上证		110.975	8170	26309	  0.31	146	33	--  	--  	--  	--  	          0.09	         10.01亿	--  	 -2.49	   1492	     23	        0.0026	1	-1.79	-0.16	-1.05	-7.32	-13.11	0	--  	--  	--  	--  	
128049	华源转债	1.20	--  	0.00	1589.43	  1.80	          4.11	0.92	106.498	106.426	106.498	1.263	14939	115	105.600	106.564	105.600	105.235	--  	上证		106.395	5633	9306	  0.61	100	13	--  	--  	--  	--  	          0.04	          3.87亿	--  	 -2.49	    640	     23	        0.0064	1	-0.90	-0.10	-2.43	-5.77	-6.09	0	--  	--  	--  	--  	
113526	联泰转债	1.20	--  	-0.30	14924.36	  0.35	         61.39	1.81	126.15	126.20	126.23	1.49	118478	10	125.88	126.76	124.50	124.66	--  	深证		125.97	56198	62280	  0.90	13	45	--  	--  	--  	--  	          0.02	          2.43亿	--  	 -1.21	   3251	     36	        0.0189	3	1.30	3.86	-22.15	-47.66	-46.38	0	--  	--  	--  	--  	
123093	金陵转债	1.19	--  	0.20	1461.53	  1.16	          5.18	1.23	113.333	113.333	113.380	1.333	12953	110	112.420	113.600	112.220	112.000	--  	上证		112.834	5337	7616	  0.70	9	2	--  	--  	--  	--  	          0.02	          2.83亿	--  	 -2.50	    791	     16	        0.0066	2	0.26	1.37	-2.00	-5.55	-4.78	0	--  	--  	--  	--  	
